Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Dive,WATER,Physical,80,100,10,,"Dives underwater on first turn, attacks on second turn.",—
Dizzy Punch,NORMAL,Physical,70,100,10,,May confuse opponent.,20
Doom Desire,STEEL,Special,140,100,5,,Damage occurs 2 turns later.,—
Double Hit,NORMAL,Physical,35,90,10,,Hits twice in one turn.,—
Double Iron Bash,STEEL,Physical,60,100,5,,Hits twice in one turn; may cause flinching.,30
Double Kick,FIGHTING,Physical,30,100,30,,Hits twice in one turn.,—
Double Slap,NORMAL,Physical,15,85,10,,Hits 2-5 times in one turn.,—
Double Team,NORMAL,Status,—,—,15,TM32,Raises user's Evasiveness.,—
Double-Edge,NORMAL,Physical,120,100,15,,User receives recoil damage.,—
Draco Meteor,DRAGON,Special,130,90,5,,Sharply lowers user's Special Attack.,—
Dragon Ascent,FLYING,Physical,120,100,5,,Lowers user's Defense and Special Defense.,—
Dragon Breath,DRAGON,Special,60,100,20,,May paralyze opponent.,30
Dragon Claw,DRAGON,Physical,80,100,15,TM02,,—
Dragon Dance,DRAGON,Status,—,—,20,,Raises user's Attack and Speed.,—
Dragon Hammer,DRAGON,Physical,90,100,15,,The user uses its body like a hammer to attack the target and inflict damage.,
Dragon Pulse,DRAGON,Special,85,100,10,,,—
Dragon Rage,DRAGON,Special,—,100,10,,Always inflicts 40 HP.,—
Dragon Rush,DRAGON,Physical,100,75,10,,May cause flinching.,20
Dragon Tail,DRAGON,Physical,60,90,10,TM82,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Drain Punch,FIGHTING,Physical,75,100,10,,User recovers half the HP inflicted on opponent.,—
Draining Kiss,FAIRY,Special,50,100,10,,User recovers most the HP inflicted on opponent.,—
Dream Eater,PSYCHIC,Special,100,100,15,TM85,User recovers half the HP inflicted on a sleeping opponent.,—
Drill Peck,FLYING,Physical,80,100,20,,,—
Drill Run,GROUND,Physical,80,95,10,,High critical hit ratio.,—
Dual Chop,DRAGON,Physical,40,90,15,,Hits twice in one turn.,—
Dynamic Punch,FIGHTING,Physical,100,50,5,,Confuses opponent.,100
Earth Power,GROUND,Special,90,100,10,,May lower opponent's Special Defense.,10
Earthquake,GROUND,Physical,100,100,10,TM26,Power is doubled if opponent is underground from using Dig.,—
Echoed Voice,NORMAL,Special,40,100,15,TM49,Power increases each turn.,—
Eerie Impulse,ELECTRIC,Status,—,100,15,,Sharply lowers opponent's Special Attack.,—
Egg Bomb,NORMAL,Physical,100,75,10,,,—
Electric Terrain,ELECTRIC,Status,—,—,10,,Prevents all Pokémon from falling asleep for 5 turns.,—
Electrify,ELECTRIC,Status,—,—,20,,Changes the target's move to Electric type.,—
Electro Ball,ELECTRIC,Special,—,100,10,,"The faster the user, the stronger the attack.",—
Electroweb,ELECTRIC,Special,55,95,15,,Lowers opponent's Speed.,100
Embargo,DARK,Status,—,100,15,TM63,Opponent cannot use items.,—
Ember,FIRE,Special,40,100,25,,May burn opponent.,10
Encore,NORMAL,Status,—,100,5,,Forces opponent to keep using its last move for 3 turns.,—
Endeavor,NORMAL,Physical,—,100,5,,Reduces opponent's HP to same as user's.,—
Endure,NORMAL,Status,—,—,10,,"Always left with at least 1 HP, but may fail if used consecutively.",—
Energy Ball,GRASS,Special,90,100,10,TM53,May lower opponent's Special Defense.,10
Entrainment,NORMAL,Status,—,100,15,,Makes target's ability same as user's.,—
Eruption,FIRE,Special,150,100,5,,Stronger when the user's HP is higher.,—
Explosion,NORMAL,Physical,250,100,5,TM64,User faints.,—
Extrasensory,PSYCHIC,Special,80,100,20,,May cause flinching.,10
Extreme Evoboost,NORMAL,Status,—,—,1,,Eevee-exclusive Z-Move. Sharply raises all stats.,
Extreme Speed,NORMAL,Physical,80,100,5,,User attacks first.,—
Facade,NORMAL,Physical,70,100,20,TM42,"Power doubles if user is burned, poisoned, or paralyzed.",—
Fairy Lock,FAIRY,Status,—,—,10,,Prevents fleeing in the next turn.,—
Fairy Wind,FAIRY,Special,40,100,30,,,—
Fake Out,NORMAL,Physical,40,100,10,,"User attacks first, foe flinches. Only usable on first turn.",100
Fake Tears,DARK,Status,—,100,20,,Sharply lowers opponent's Special Defense.,—
False Swipe,NORMAL,Physical,40,100,40,TM54,Always leaves opponent with at least 1 HP.,—
Feather Dance,FLYING,Status,—,100,15,,Sharply lowers opponent's Attack.,—
Feint,NORMAL,Physical,30,100,10,,Only hits if opponent uses Protect or Detect in the same turn.,—
Feint Attack,DARK,Physical,60,?,20,,Ignores Accuracy and Evasiveness.,—
Fell Stinger,BUG,Physical,50,100,25,,Drastically raises user's Attack if target is KO'd.,—
Fiery Dance,FIRE,Special,80,100,10,,May raise user's Special Attack.,50
Final Gambit,FIGHTING,Special,—,100,5,,Inflicts damage equal to the user's remaining HP. User faints.,—
Fire Blast,FIRE,Special,110,85,5,TM38,May burn opponent.,10
Fire Fang,FIRE,Physical,65,95,15,,May cause flinching and/or burn opponent.,10
Fire Lash,FIRE,Physical,80,100,15,,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,
Fire Pledge,FIRE,Special,80,100,10,,Added effects appear if combined with Grass Pledge or Water Pledge.,—
Fire Punch,FIRE,Physical,75,100,15,,May burn opponent.,10
Fire Spin,FIRE,Special,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",—
First Impression,BUG,Physical,90,100,10,,"Although this move has great power, it only works the first turn the user is in battle.",
Fissure,GROUND,Physical,—,—,5,,"One-Hit-KO, if it hits.",—
Flail,NORMAL,Physical,—,100,15,,"The lower the user's HP, the higher the power.",—
Flame Burst,FIRE,Special,70,100,15,,May also injure nearby Pokémon.,—
Flame Charge,FIRE,Physical,50,100,20,TM43,Raises user's Speed.,100
Flame Wheel,FIRE,Physical,60,100,25,,May burn opponent.,10
Flamethrower,FIRE,Special,90,100,15,TM35,May burn opponent.,10
Flare Blitz,FIRE,Physical,120,100,15,,User receives recoil damage. May burn opponent.,10
Flash,NORMAL,Status,—,100,20,,Lowers opponent's Accuracy.,—
Flash Cannon,STEEL,Special,80,100,10,TM91,May lower opponent's Special Defense.,10
Flatter,DARK,Status,—,100,15,,"Confuses opponent, but raises its Special Attack by two stages.",—
Fleur Cannon,FAIRY,Special,130,90,5,,Sharply lowers user's Special Attack.,
Fling,DARK,Physical,—,100,10,TM56,Power depends on held item.,—
Floaty Fall,FLYING,Physical,90,95,15,,May cause flinching.,30
Floral Healing,FAIRY,Status,—,—,10,,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,
Flower Shield,FAIRY,Status,—,—,10,,Sharply raises Defense of all Grass-type Pokémon on the field.,—
Fly,FLYING,Physical,90,95,15,TM76,"Flies up on first turn, attacks on second turn.",—
Flying Press,FIGHTING,Physical,100,95,10,,Deals Fighting and Flying type damage.,—
Focus Blast,FIGHTING,Special,120,70,5,TM52,May lower opponent's Special Defense.,10
Focus Energy,NORMAL,Status,—,—,30,,Increases critical hit ratio.,—
Focus Punch,FIGHTING,Physical,150,100,20,,"If the user is hit before attacking, it flinches instead.",—
Follow Me,NORMAL,Status,—,—,20,,"In Double Battle, the user takes all the attacks.",—
Force Palm,FIGHTING,Physical,60,100,10,,May paralyze opponent.,30
Foresight,NORMAL,Status,—,—,40,,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",—
Forest's Curse,GRASS,Status,—,100,20,,Adds Grass type to opponent.,—
Foul Play,DARK,Physical,95,100,15,,Uses the opponent's Attack stat.,—
Freeze Shock,ICE,Physical,140,90,5,,"Charges on first turn, attacks on second. May paralyze opponent.",30
Freeze-Dry,ICE,Special,70,100,20,,May freeze opponent. Super-effective against Water types.,—
Freezy Frost,ICE,Special,90,100,15,,Resets all stat changes.,
Frenzy Plant,GRASS,Special,150,90,5,,User must recharge next turn.,—
Frost Breath,ICE,Special,60,90,10,TM79,Always results in a critical hit.,100
Frustration,NORMAL,Physical,—,100,20,TM21,Power decreases with higher Friendship.,—
Fury Attack,NORMAL,Physical,15,85,20,,Hits 2-5 times in one turn.,—
Fury Cutter,BUG,Physical,40,95,20,,Power increases each turn.,—
Fury Swipes,NORMAL,Physical,18,80,15,,Hits 2-5 times in one turn.,—
Fusion Bolt,ELECTRIC,Physical,100,100,5,,Power increases if Fusion Flare is used in the same turn.,—
Fusion Flare,FIRE,Special,100,100,5,,Power increases if Fusion Bolt is used in the same turn.,—
Future Sight,PSYCHIC,Special,120,100,10,,Damage occurs 2 turns later.,—
Gastro Acid,POISON,Status,—,100,10,,Cancels out the effect of the opponent's Ability.,—
Gear Grind,STEEL,Physical,50,85,15,,Hits twice in one turn.,—
Gear Up,STEEL,Status,—,—,20,,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,
Genesis Supernova,PSYCHIC,Special,185,—,1,,Mew-exclusive Z-Move.,
Geomancy,FAIRY,Status,—,—,10,,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",—
Giga Drain,GRASS,Special,75,100,10,,User recovers half the HP inflicted on opponent.,—
Giga Impact,NORMAL,Physical,150,90,5,TM68,User must recharge next turn.,—
Gigavolt Havoc,ELECTRIC,—,—,—,1,,Electric type Z-Move.,
Glaciate,ICE,Special,65,95,10,,Lowers opponent's Speed.,100
Glare,NORMAL,Status,—,100,30,,Paralyzes opponent.,—
Glitzy Glow,PSYCHIC,Special,90,100,15,,Reduces damage from Special attacks.,
Grass Knot,GRASS,Special,—,100,20,TM86,"The heavier the opponent, the stronger the attack.",—
Grass Pledge,GRASS,Special,80,100,10,,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,—
Grass Whistle,GRASS,Status,—,55,15,,Puts opponent to sleep.,—
Grassy Terrain,GRASS,Status,—,—,10,,Restores a little HP of all Pokémon for 5 turns.,—
Gravity,PSYCHIC,Status,—,—,5,,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,—
Growl,NORMAL,Status,—,100,40,,Lowers opponent's Attack.,—
Growth,NORMAL,Status,—,—,40,,Raises user's Attack and Special Attack.,—
Grudge,GHOST,Status,—,—,5,,"If the users faints after using this move, the PP for the opponent's last move is depleted.",—
Guard Split,PSYCHIC,Status,—,—,10,,Averages Defense and Special Defense with the target.,—
Guard Swap,PSYCHIC,Status,—,—,10,,User and opponent swap Defense and Special Defense.,—
Guardian of Alola,FAIRY,Special,—,—,1,,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,
Guillotine,NORMAL,Physical,—,—,5,,"One-Hit-KO, if it hits.",—
Gunk Shot,POISON,Physical,120,80,5,,May poison opponent.,30
Gust,FLYING,Special,40,100,35,,Hits Pokémon using Fly/Bounce with double power.,—
Gyro Ball,STEEL,Physical,—,100,5,TM74,"The slower the user, the stronger the attack.",—
Hail,ICE,Status,—,—,10,TM07,Non-Ice types are damaged for 5 turns.,—
Hammer Arm,FIGHTING,Physical,100,90,10,,Lowers user's Speed.,—
Happy Hour,NORMAL,Status,—,—,30,,Doubles prize money from trainer battles.,—
Harden,NORMAL,Status,—,—,30,,Raises user's Defense.,—
Haze,ICE,Status,—,—,30,,Resets all stat changes.,—
Head Charge,NORMAL,Physical,120,100,15,,User receives recoil damage.,—
Head Smash,ROCK,Physical,150,80,5,,User receives recoil damage.,—
Headbutt,NORMAL,Physical,70,100,15,,May cause flinching.,30
Heal Bell,NORMAL,Status,—,—,5,,Heals the user's party's status conditions.,—
Heal Block,PSYCHIC,Status,—,—,15,,Prevents the opponent from restoring HP for 5 turns.,—
Heal Order,BUG,Status,—,—,10,,User recovers half its max HP.,—
Heal Pulse,PSYCHIC,Status,—,—,10,,Restores half the target's max HP.,—
Healing Wish,PSYCHIC,Status,—,—,10,,The user faints and the next Pokémon released is fully healed.,—
Heart Stamp,PSYCHIC,Physical,60,100,25,,May cause flinching.,30
Heart Swap,PSYCHIC,Status,—,—,10,,Stat changes are swapped with the opponent.,—
Heat Crash,FIRE,Physical,—,100,10,,"The heavier the user, the stronger the attack.",—
Heat Wave,FIRE,Special,95,90,10,,May burn opponent.,10
Heavy Slam,STEEL,Physical,—,100,10,,"The heavier the user, the stronger the attack.",—
Helping Hand,NORMAL,Status,—,—,20,,"In Double Battles, boosts the power of the partner's move.",—
Hex,GHOST,Special,65,100,10,,Inflicts more damage if the target has a status condition.,—
Hidden Power,NORMAL,Special,60,100,15,TM10,Type and power depends on user's IVs.,—
High Horsepower,GROUND,Physical,95,95,10,,The user fiercely attacks the target using its entire body.,
High Jump Kick,FIGHTING,Physical,130,90,10,,"If it misses, the user loses half their HP.",—
Hold Back,NORMAL,Physical,40,100,40,,Always leaves opponent with at least 1 HP.,—
Hold Hands,NORMAL,Status,—,—,40,,Makes the user and an ally very happy.,—
Hone Claws,DARK,Status,—,—,15,,Raises user's Attack and Accuracy.,—
Horn Attack,NORMAL,Physical,65,100,25,,,—
Horn Drill,NORMAL,Physical,—,—,5,,"One-Hit-KO, if it hits.",—
Horn Leech,GRASS,Physical,75,100,10,,User recovers half the HP inflicted on opponent.,—
Howl,NORMAL,Status,—,—,40,,Raises user's Attack.,—
Hurricane,FLYING,Special,110,70,10,,May confuse opponent.,30
Hydro Cannon,WATER,Special,150,90,5,,User must recharge next turn.,—
Hydro Pump,WATER,Special,110,80,5,,,—
Hydro Vortex,WATER,—,—,—,1,,Water type Z-Move.,
Hyper Beam,NORMAL,Special,150,90,5,TM15,User must recharge next turn.,—
Hyper Fang,NORMAL,Physical,80,90,15,,May cause flinching.,10
Hyper Voice,NORMAL,Special,90,100,10,,,—
Hyperspace Fury,DARK,Physical,100,?,5,,Lowers user's Defense. Can strike through Protect/Detect.,—
Hyperspace Hole,PSYCHIC,Special,80,?,5,,Can strike through Protect/Detect.,—
Hypnosis,PSYCHIC,Status,—,60,20,,Puts opponent to sleep.,—
Ice Ball,ICE,Physical,30,90,20,,Doubles in power each turn for 5 turns.,—
Ice Beam,ICE,Special,90,100,10,TM13,May freeze opponent.,10
Ice Burn,ICE,Special,140,90,5,,"Charges on first turn, attacks on second. May burn opponent.",30
Ice Fang,ICE,Physical,65,95,15,,May cause flinching and/or freeze opponent.,10
Ice Hammer,ICE,Physical,100,90,10,,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",
Ice Punch,ICE,Physical,75,100,15,,May freeze opponent.,10
Ice Shard,ICE,Physical,40,100,30,,User attacks first.,—
Icicle Crash,ICE,Physical,85,90,10,,May cause flinching.,30
Icicle Spear,ICE,Physical,25,100,30,,Hits 2-5 times in one turn.,—
Icy Wind,ICE,Special,55,95,15,,Lowers opponent's Speed.,100
Imprison,PSYCHIC,Status,—,—,10,,Opponent is unable to use moves that the user also knows.,—
Incinerate,FIRE,Special,60,100,15,,Destroys the target's held berry.,—
Inferno,FIRE,Special,100,50,5,,Burns opponent.,100
Inferno Overdrive,FIRE,—,—,—,1,,Fire type Z-Move.,
Infestation,BUG,Special,20,100,20,TM83,"Traps opponent, damaging them for 4-5 turns.",—
Ingrain,GRASS,Status,—,—,20,,User restores HP each turn. User cannot escape/switch.,—
Instruct,PSYCHIC,Status,—,—,15,,Allows an ally to use a move instead.,
Ion Deluge,ELECTRIC,Status,—,—,25,,Changes Normal-type moves to Electric-type.,—
Iron Defense,STEEL,Status,—,—,15,,Sharply raises user's Defense.,—
Iron Head,STEEL,Physical,80,100,15,,May cause flinching.,30
Iron Tail,STEEL,Physical,100,75,15,,May lower opponent's Defense.,10
Judgment,NORMAL,Special,100,100,10,,Type depends on the Arceus Plate being held.,—
Jump Kick,FIGHTING,Physical,100,95,10,,"If it misses, the user loses half their HP.",—
Karate Chop,FIGHTING,Physical,50,100,25,,High critical hit ratio.,—
Kinesis,PSYCHIC,Status,—,80,15,,Lowers opponent's Accuracy.,—
King's Shield,STEEL,Status,—,—,10,,Protects the user and lowers opponent's Attack on contact.,—
Knock Off,DARK,Physical,65,100,20,,Removes opponent's held item for the rest of the battle.,—
Land's Wrath,GROUND,Physical,90,100,10,,,—
Laser Focus,NORMAL,Status,—,—,30,,User's next attack is guaranteed to result in a critical hit.,
Last Resort,NORMAL,Physical,140,100,5,,Can only be used after all other moves are used.,—
Lava Plume,FIRE,Special,80,100,15,,May burn opponent.,30
Leaf Blade,GRASS,Physical,90,100,15,,High critical hit ratio.,—
Leaf Storm,GRASS,Special,130,90,5,,Sharply lowers user's Special Attack.,—
Leaf Tornado,GRASS,Special,65,90,10,,May lower opponent's Accuracy.,30
Leafage,GRASS,Physical,40,100,40,,Strikes opponent with leaves.,
Leech Life,BUG,Physical,80,100,10,TM28,User recovers half the HP inflicted on opponent.,—
Leech Seed,GRASS,Status,—,90,10,,Drains HP from opponent each turn.,—
Leer,NORMAL,Status,—,100,30,,Lowers opponent's Defense.,—
Let's Snuggle Forever,FAIRY,Physical,190,—,1,,Mimikyu-exclusive Z-Move.,
